nop,01000000001
lnop,00000000001
stop,00000000000
ah ,00011001000
ahi ,00011101
a ,00011000000
ai ,00011100
sfh ,00001001000
sfhi ,00001101
sf ,00001000000
sfi ,00001100
cg ,00011000010
clz ,01010100101
and ,00011000001
andc  ,01011000001
andhi ,00010101
andi ,00010100
or ,00001000001
orc ,01011001001
orhi ,00000101
ori ,00000100
xor ,01001000001
xorhi ,01000101
xori ,01000100
nand ,00011001001
nor ,00001001001
ceqh ,01111001000
ceqhi ,01111101
ceq ,01111000000
ceqi ,01111100
cgth ,01001001000
cgthi ,01001101
cgt ,01001000000
cgti ,01001100
clgth,01011001000
clgthi,01011101
clgt,01011000000
clgti,01011100
ilh  ,01011100
ilhu  ,010000010
Il  ,010000001
ila  ,010000001
iohl ,011000001
andbi ,00010110
shlh ,00001111111
shlhi ,00001111111
shl ,00001011011
shli ,00001111011
roth ,00001011100
rothi ,00001111100
rot ,00001011000
roti ,00001111000
mpy ,01111000100
mpyu ,01111001100
mpyi ,01110100
mpyui ,01110101
mpya rc,1100
fa ,01011000100
fs ,01011000101
fm ,01011000110
fma rc,01011000110
fms rc,1111
avgb ,00011010011
cntb ,01010110100
absdb ,00001010011
sumb ,01001010011
ceqb ,01111010000
ceqbi ,01111110
shlqbi ,00111011011
shlqbii ,00111111011
shlqby ,00111011111
shlqbyi ,00111111111
shlqbybi ,00111001111
rotqby ,00111011100
rotqbyi ,00111111100
rotqbi ,00111011000
rotqbii ,00111111000
gbb ,00110110010
gbh ,00110110001
gb ,00110110001
lqd ,00110100
lqx ,00111000100
stqx ,00101000100
stqa ,001000001
brnz ,001000010
brhnz ,001000000
binz ,001000110
bihnz ,00100101001
brz ,001000000
b ,001100000
bi ,00110101000
br ,001100100